pmid,doi
37210529,10.1186/s40337-023-00808-w
36965963,10.1016/s0140-6736(23)00394-x
37169565,10.15586/aei.v51i3.810
37089058,10.1111/cbdd.14243
37073083,10.1177/11206721231169538
37038279,10.1002/ar.25221
36728216,10.1097/opx.0000000000001990
36300513,10.1093/jtm/taac126
36856739,10.1093/jtm/taad022
36617633,10.1111/1475-6773.14130
36596653,10.4187/respcare.10222
37099572,10.11607/jomi.9555
36519255,10.1093/cid/ciac943
36454863,10.1126/science.add8737
35363589,10.1080/10803548.2022.2059171
37288209,10.7759/cureus.38516
36416032,10.1098/rsbl.2022.0398
36435122,10.1016/j.jenvman.2022.116776
36808030,10.1016/j.foodchem.2023.135691
36342122,10.1177/15266028221133705
36434897,10.1016/j.clineuro.2022.107518
36688479,10.1177/11297298221150664
35993612,10.1093/pm/pnac126
36302056,10.1161/res.0000000000000578
36214947,10.1007/s11033-022-07955-4
36205871,10.1007/s11356-022-23402-0
36177496,10.1002/cbin.11915
36172915,10.1177/09544119221122028
36941949,10.1155/2023/3320547
37007568,10.21037/atm-22-4318
36994183,10.1016/j.isci.2023.106216
36974175,10.1016/j.fochx.2023.100626
36103130,10.1080/00071668.2022.2124100
36097124,10.1007/s11033-022-07891-3
36089137,10.1016/j.envpol.2022.120124
36082843,10.1093/schbul/sbac129
35585615,10.1186/s13098-022-00844-7
37082690,10.21037/atm-23-217
36453360,10.4103/ijo.ijo_1220_22
36860583,10.1155/2023/2516472
36331037,10.4155/bio-2022-0162
36865484,10.1155/2023/1176232
36845013,10.1155/2023/9155944
36007610,10.1016/j.lfs.2022.120906
36820102,10.1155/2023/6251492
36029691,10.1016/j.plaphy.2022.08.011
36758011,10.1371/journal.pone.0279534
36776924,10.1155/2023/7418365
37021023,10.1002/joa3.12817
36840486,10.1002/iid3.789
35940278,10.1016/j.cbi.2022.110088
35801819,10.1093/ntr/ntac167
35194201,10.1038/s41417-022-00440-x
36694131,10.1186/s12879-023-07998-3
35917103,10.1007/s12010-022-04080-7
34877908,10.1080/14737159.2022.2012157
35902026,10.1016/j.reprotox.2022.07.007
35876219,10.1177/09544119221113180
36647136,10.1186/s13019-023-02139-y
36630447,10.1371/journal.pone.0280239
36779152,10.7759/cureus.33595
35305553,10.1186/s11658-022-00324-w
36635735,10.1186/s13034-022-00550-2
36627684,10.1186/s13046-022-02588-8
35932629,10.1016/j.micron.2022.103325
35791865,10.1177/00207640221109170
35793710,10.1038/s41586-022-05033-0
36076651,10.4103/0028-3886.355179
36453901,10.1093/bioinformatics/btac758
35763327,10.1089/dia.2022.0201
36793990,10.21037/acs-2022-urats-157
36960330,10.7759/cureus.33150
36600965,10.1155/2022/4435092
35730728,10.1177/03915603221104048
36233656,10.3390/jcm11195788
36588594,10.1155/2022/3676444
35700709,10.1159/000525432
35700239,10.1158/0008-5472.can-22-0394
36517864,10.1186/s13048-022-01060-7
35658726,10.1177/15347346221106578
35688754,10.1016/j.biopha.2022.113213
35662622,10.1016/j.jclinepi.2022.05.009
36097119,10.1007/s11033-022-07423-z
35179402,10.1080/02713683.2022.2026975
36507463,10.1155/2022/5178301
36506936,10.1155/2022/5266627
35613214,10.1590/1519-6984.260090
35016584,10.1177/10105395211073282
36736314,10.1016/j.ymthe.2023.01.020
36404304,10.1186/s12876-022-02562-w
36440365,10.1155/2022/4448075
36857424,10.18097/pbmc20236901019
35537646,10.1016/j.biortech.2022.127275
35526740,10.1016/j.ygeno.2022.110379
37089476,10.3389/fpubh.2023.1125150
36378666,10.1371/journal.pone.0277539
36389648,10.1063/5.0109107
36514657,10.7759/cureus.31328
35389410,10.1039/d2cc01382g
36662451,10.1007/s11033-023-08246-2
36451406,10.1097/md.0000000000031699
36345291,10.2147/ppa.s380393
35451795,10.1007/s12010-022-03918-4
35445619,10.1177/09544119221090725
35441923,10.1007/s10895-022-02943-0
36474535,10.21315/mjms2022.29.5.9
35439680,10.1016/j.ijfoodmicro.2022.109679
36364564,10.3390/nano12213789
36271409,10.1186/s13048-022-01043-8
35380229,10.1007/s00330-022-08743-1
35365413,10.1016/j.jcyt.2022.02.008
36734703,10.26355/eurrev_202301_31061
36276288,10.1155/2022/3514984
35344518,10.1097/bsd.0000000000001315
35122564,10.1007/s11010-022-04373-9
