	doi	pmid	pmcid	id
0	10.1186/s40337-023-00808-w	37210529	PMC10199517	MED37210529
1	10.1016/s0140-6736(23)00394-x	36965963	PMC10036125	MED36965963
2	10.15586/aei.v51i3.810	37169565		MED37169565
3	10.1111/cbdd.14243	37089058		MED37089058
4	10.1177/11206721231169538	37073083		MED37073083
5	10.1002/ar.25221	37038279		MED37038279
6	10.1097/opx.0000000000001990	36728216		MED36728216
7	10.1093/jtm/taac126	36300513		MED36300513
8	10.1093/jtm/taad022	36856739		MED36856739
9	10.1111/1475-6773.14130	36617633		MED36617633
10	10.4187/respcare.10222	36596653		MED36596653
11	10.11607/jomi.9555	37099572		MED37099572
12	10.1093/cid/ciac943	36519255		MED36519255
13	10.1126/science.add8737	36454863		MED36454863
14	10.1080/10803548.2022.2059171	35363589		MED35363589
15	10.7759/cureus.38516	37288209	PMC10243229	MED37288209
16	10.1098/rsbl.2022.0398	36416032		MED36416032
17	10.1016/j.jenvman.2022.116776	36435122		MED36435122
18	10.1016/j.foodchem.2023.135691	36808030		MED36808030
19	10.1177/15266028221133705	36342122		MED36342122
20	10.1016/j.clineuro.2022.107518	36434897		MED36434897
21	10.1177/11297298221150664	36688479		MED36688479
22	10.1093/pm/pnac126	35993612	PMC10069856	MED35993612
23	10.1161/res.0000000000000578	36302056		MED36302056
24	10.1007/s11033-022-07955-4	36214947		MED36214947
25	10.1007/s11356-022-23402-0	36205871		MED36205871
26	10.1002/cbin.11915	36177496		MED36177496
27	10.1177/09544119221122028	36172915		MED36172915
28	10.1155/2023/3320547	36941949	PMC10024622	MED36941949
29	10.21037/atm-22-4318	37007568	PMC10061444	MED37007568
30	10.1016/j.isci.2023.106216	36994183	PMC10040967	MED36994183
31	10.1016/j.fochx.2023.100626	36974175	PMC10039268	MED36974175
32	10.1080/00071668.2022.2124100	36103130		MED36103130
33	10.1007/s11033-022-07891-3	36097124		MED36097124
34	10.1016/j.envpol.2022.120124	36089137		MED36089137
35	10.1093/schbul/sbac129	36082843		MED36082843
36	10.1186/s13098-022-00844-7	35585615	PMC9118590	MED35585615
37	10.21037/atm-23-217	37082690	PMC10113076	MED37082690
38	10.4103/ijo.ijo_1220_22	36453360	PMC9940518	MED36453360
39	10.1155/2023/2516472	36860583	PMC9969973	MED36860583
40	10.4155/bio-2022-0162	36331037		MED36331037
41	10.1155/2023/1176232	36865484	PMC9974252	MED36865484
42	10.1155/2023/9155944	36845013	PMC9946749	MED36845013
43	10.1016/j.lfs.2022.120906	36007610		MED36007610
44	10.1155/2023/6251492	36820102	PMC9938785	MED36820102
45	10.1016/j.plaphy.2022.08.011	36029691		MED36029691
46	10.1371/journal.pone.0279534	36758011	PMC9910655	MED36758011
47	10.1155/2023/7418365	36776924	PMC9908336	MED36776924
48	10.1002/joa3.12817	37021023	PMC10068927	MED37021023
49	10.1002/iid3.789	36840486	PMC9950878	MED36840486
50	10.1016/j.cbi.2022.110088	35940278		MED35940278
51	10.1093/ntr/ntac167	35801819	PMC10215975	MED35801819
52	10.1038/s41417-022-00440-x	35194201		MED35194201
53	10.1186/s12879-023-07998-3	36694131	PMC9872073	MED36694131
54	10.1007/s12010-022-04080-7	35917103		MED35917103
55	10.1080/14737159.2022.2012157	34877908		MED34877908
56	10.1016/j.reprotox.2022.07.007	35902026		MED35902026
57	10.1177/09544119221113180	35876219		MED35876219
58	10.1186/s13019-023-02139-y	36647136	PMC9841925	MED36647136
59	10.1371/journal.pone.0280239	36630447	PMC9833597	MED36630447
60	10.7759/cureus.33595	36779152	PMC9910224	MED36779152
61	10.1186/s11658-022-00324-w	35305553	PMC8933956	MED35305553
62	10.1186/s13034-022-00550-2	36635735	PMC9835742	MED36635735
63	10.1186/s13046-022-02588-8	36627684	PMC9830721	MED36627684
64	10.1016/j.micron.2022.103325	35932629		MED35932629
65	10.1177/00207640221109170	35791865		MED35791865
66	10.1038/s41586-022-05033-0	35793710		MED35793710
67	10.4103/0028-3886.355179	36076651		MED36076651
68	10.1093/bioinformatics/btac758	36453901		MED36453901
69	10.1089/dia.2022.0201	35763327		MED35763327
70	10.21037/acs-2022-urats-157	36793990	PMC9922771	MED36793990
71	10.7759/cureus.33150	36960330	PMC10029698	MED36960330
72	10.1155/2022/4435092	36600965	PMC9807302	MED36600965
73	10.1177/03915603221104048	35730728		MED35730728
74	10.3390/jcm11195788	36233656	PMC9570859	MED36233656
75	10.1155/2022/3676444	36588594	PMC9800101	MED36588594
76	10.1159/000525432	35700709		MED35700709
77	10.1158/0008-5472.can-22-0394	35700239		MED35700239
78	10.1186/s13048-022-01060-7	36517864	PMC9749186	MED36517864
79	10.1177/15347346221106578	35658726		MED35658726
80	10.1016/j.biopha.2022.113213	35688754		MED35688754
81	10.1016/j.jclinepi.2022.05.009	35662622		MED35662622
82	10.1007/s11033-022-07423-z	36097119		MED36097119
83	10.1080/02713683.2022.2026975	35179402		MED35179402
84	10.1155/2022/5266627	36506936	PMC9729028	MED36506936
85	10.1155/2022/5178301	36507463	PMC9734004	MED36507463
